ID,Locality,Country,State,County,GeorefLatitude,GeorefLongitude,SpacyNER,prediction_mean,prediction_smallest
129957.0,"Yellowstone Plateau: Yellowstone National Park: Artists Paint Pots thermal area, ca 4 mi SW of Norris Junction.",U.S.A.,Wyoming,Park,44.6927,-110.7379,Yellowstone Plateau|Yellowstone National Park|Norris Junction,"  45.91402 ,-108.400635",
199041.0,Washakie Basin: steeply tilted sandstone ridge E of Richards Gap.,U.S.A.,Wyoming,Sweetwater,41.0074,-109.1977,Washakie Basin|Richards Gap,,
199207.0,"Medicine Bow Range: isolated fen complex between Rock Creek and North Fork Rock Creek, ca 12 air mi NNW of Centennial; from Wyo Hwy 130, ca 10 mi N of Forest Road 101, ca 1 mi E and N on Forest Road 101E and immediately W of Forest Road 101E.",U.S.A.,Wyoming,Carbon,41.4637,-106.2023,Medicine Bow Range|Rock Creek|North Fork Rock Creek|Centennial|Wyo Hwy 130|Forest Road 101|Forest Road 101E|Forest Road 101E.,"  40.90608,-105.64768","  41.3424726,-106.2992755"
199643.0,"Sand Creek crossing, just upstream, west side of creek.",U.S.A.,Wyoming,Crook,44.4126,-104.096,Sand Creek," 41.604527,-93.01995 ",
199816.0,Horseshoe Bend.,U.S.A.,Wyoming,Big Horn,44.9581,-108.2607,Horseshoe Bend," 36.946854,-92.929054",
200379.0,"Great Divide Basin and Adjacent Regions: Red Desert, Steamboat sand dunes.",U.S.A.,Wyoming,Sweetwater,41.95099,-108.96042,Great Divide Basin|Red Desert|Steamboat," 30.289438,-81.802666",
200426.0,Encampment.,U.S.A.,Wyoming,Carbon,41.2105,-106.7877,,,
200436.0,"Sierra Madre: Copper Creek, ca 4.8 air mi SW of Encampment.",U.S.A.,Wyoming,Carbon,41.1534,-106.839,Sierra Madre|Copper Creek|Encampment,"  32.712654,-104.47185 ",
200731.0,"Sweetwater River Valley: north bank of Sweetwater River near the confluence of Dry Creek and the northwest tip of Pathfinder Reservoir, ca 3 air mi SE of Wyo Hwy 220 off County Road 410.",U.S.A.,Wyoming,Natrona,42.50619,-107.06222,Sweetwater River Valley|Sweetwater River|Dry Creek|Pathfinder Reservoir|Wyo Hwy 220|County Road 410,,
243618.0,Upper Wind River Watershed: Spring Ranch bench: ca 8 air mi SE of Dubois; middle of high wide bench above large bowl SW of main ranch headquarters.,U.S.A.,Wyoming,Fremont,43.465,-109.5048,Upper Wind River Watershed|Dubois,,
244228.0,Upper Wind River Watershed: Jakeys Fork: ca 3.8 air mi SE of Dubois; W of main road to fish hatchery and CM Ranch.,U.S.A.,Wyoming,Fremont,43.4975,-109.5867,Upper Wind River Watershed|Jakeys Fork|Dubois|CM Ranch,,
306901.0,Medicine Bow Mountains: E of Pikepole Campground along Douglas Creek on the trail to Devils Gate Creek.,U.S.A.,Wyoming,Carbon,41.1338,-106.4187,Medicine Bow Mountains|E of Pikepole Campground|Douglas Creek|Devils Gate Creek,,
317856.0,"Black Hills, Coal Divide just N of I-90 (near parking area), ca 9 air mi SW of Sundance.",U.S.A.,Wyoming,Crook,44.3209,-104.5123,Black Hills|Coal Divide|I-90|Sundance,"  35.702164,-109.32312 ",
356311.0,2 mi N of Hartville.,U.S.A.,Wyoming,Platte,42.3494,-104.7259,Hartville," 40.180676,-92.855644","  42.3274685,-104.725241 "
356313.0,Summit of Beartooth Mountains: Beartooth Pass.,U.S.A.,Wyoming,Park,44.9691,-109.4714,Beartooth Mountains|Beartooth Pass,"  45.02721,-109.40744",
356315.0,Thermopolis.,U.S.A.,Wyoming,Hot Springs,43.6542,-108.1947,Thermopolis,"  43.64607,-108.21204","  43.646067,-108.212043"
356321.0,"At the top of Dead Indian Hill, N of Cody.",U.S.A.,Wyoming,Park,44.7425,-109.3825,Dead Indian Hill,"  44.073128,-111.85246 ","  44.7571701,-109.3743252"
356326.0,Muddy Gap.,U.S.A.,Wyoming,Carbon,42.3473,-107.4613,Muddy Gap.,"  42.351624,-107.45729 ","  42.3516238,-107.4572885"
356327.0,Southern Wind River Mountains: Shoshone National Forest: near Gustav(e) Lake W of Lander.,U.S.A.,Wyoming,Fremont,42.5924,-108.9208,Southern Wind River Mountains|Shoshone National Forest|Lake W|Lander,,
356332.0,Big Horn Mountains: Powder River Pass.,U.S.A.,Wyoming,Johnson,44.1498,-107.0793,Big Horn Mountains|Powder River Pass,"  41.14058,-108.97519","  44.1585828,-106.7981066"
356366.0,Medicine Bow National Forest: Pole Mountain District: Crow Creek.,U.S.A.,Wyoming,Albany,41.2442,-105.3197,Medicine Bow National Forest|Pole Mountain District|Crow Creek,"  41.2161 ,-106.68071","  41.18194755,-107.11058049"
356672.0,Shoshone National Forest: shore of Gustav(e) Lake.,U.S.A.,Wyoming,Fremont,42.5917,-108.9206,Shoshone National Forest,"  43.9913,-109.4575","  43.9912968 ,-109.45749364"
356679.0,5 mi N of Moran.,U.S.A.,Wyoming,Teton,43.8605,-110.5928,Moran," 38.48755,-96.143  ","  43.8417264,-110.5079823"
356775.0,Near Horace Gulch Homestead site.,U.S.A.,Wyoming,Fremont,42.5176,-108.6576,Horace Gulch Homestead,,
356787.0,Intersection of Squaw Creek Road and Wyo Hwy 131.,U.S.A.,Wyoming,Fremont,42.8244,-108.7489,Squaw Creek Road|Wyo Hwy 131," 42.441307,-89.329636",
356791.0,"Beaver Rim: south knob of Yermo site, Government Draw.",U.S.A.,Wyoming,Fremont,42.6246,-108.1796,Yermo|Government Draw,"  34.904984,-116.82031 ",
356854.0,"Wind River Range: Irish Canyon, ca 30 air mi SE of Pinedale.",U.S.A.,Wyoming,Sublette,42.6644,-109.3506,Wind River Range|Irish Canyon|Pinedale,"  43.180367,-109.65381 ","  43.1803647,-109.6538115"
356871.0,Wind River Mountains: ca 30 air mi SE of Pinedale.,U.S.A.,Wyoming,Sublette,42.6644,-109.3506,Wind River Mountains|Pinedale,,
356880.0,"Sand Creek, ca 40 air mi NNE of Rawlins.",U.S.A.,Wyoming,Carbon,42.3402,-107.026,Sand Creek|Rawlins," 41.604527,-93.01995 ",
356940.0,"W of Cow Butte at headwaters of Garden Gulch, ca 33 air mi SSW of Rawlins.",U.S.A.,Wyoming,Carbon,41.3619,-107.5095,Cow Butte|Garden Gulch|Rawlins,"  40.76555,-105.85785","  41.651904 ,-107.6642363"
357163.0,"NE of Cedar Mountain, ca 35 air mi SW of Green River; 10 air mi N of McKinnon.",U.S.A.,Wyoming,Sweetwater,41.171,-109.9482,Cedar Mountain|Green River|McKinnon," 39.35035,-89.87407",
357285.0,Woods Creek,U.S.A.,Wyoming,Albany,41.11,-106.0642,Woods Creek," 42.428814,-98.19432 ",
357293.0,Platte Canon near Badger.,U.S.A.,Wyoming,Platte,42.3139,-104.89,Platte Canon|Badger,,
357298.0,Uva.,U.S.A.,Wyoming,Platte,42.1306,-104.9203,Uva," 37.829823,-98.62196 ","  42.1319141,-104.9196933"
357901.0,Laramie Hills.,U.S.A.,Wyoming,Albany,41.2516,-105.4311,Laramie Hills.,"  40.99749 ,-104.074684","  41.2999889,-105.5652464"
358244.0,South Sybille.,U.S.A.,Wyoming,Albany,41.6941,-105.3036,South Sybille," 41.220573,-89.64462 ","  41.6941405,-105.3027595"
358281.0,Evanston; on Needle Rock.,U.S.A.,Wyoming,Uinta,41.1609,-111.0345,Evanston|Needle Rock," 39.055763,-90.1632  ","  41.2682462,-110.963758 "
358291.0,Evanston.,U.S.A.,Wyoming,Uinta,41.1688,-111.044,Evanston," 39.055763,-90.1632  ","  41.2682462,-110.963758 "
358292.0,Evanston.,U.S.A.,Wyoming,Uinta,41.1613,-111.0332,Evanston," 39.055763,-90.1632  ","  41.2682462,-110.963758 "
358843.0,Fairbanks.,U.S.A.,Wyoming,Platte,42.287,-104.7561,Fairbanks," 41.350235,-94.44847 ",
358871.0,Point of Rocks.,U.S.A.,Wyoming,Sweetwater,41.6799,-108.7873,,,
359256.0,Yellowstone National Park: Yancy's.,U.S.A.,Wyoming,Park,44.9299,-110.4349,Yellowstone National Park|Yancy's,"  44.620087,-110.56069 ","  44.6200885 ,-110.56068933"
359258.0,Yellowstone National Park: Yancey's.,U.S.A.,Wyoming,Park,44.9369,-110.4303,Yellowstone National Park|Yancey's,"  44.620087,-110.56069 ","  44.6200885 ,-110.56068933"
359275.0,Yellowstone National Park: Gardiner River.,U.S.A.,Wyoming,Park,44.9583,-110.679,Yellowstone National Park|Gardiner River,"  44.620087,-110.56069 ","  44.6200885 ,-110.56068933"
359290.0,CY Ranch.,U.S.A.,Wyoming,Natrona,42.84375,-106.07691,CY Ranch.," 39.3283,-97.0609",
359301.0,"Yellowstone National Park: Mammoth Hot Springs, Gardiner River.",U.S.A.,Wyoming,Park,44.9759,-110.6851,Yellowstone National Park|Mammoth Hot Springs|Gardiner River,"  44.620087,-110.56069 ","  44.6200885 ,-110.56068933"
359647.0,Alkali Springs,U.S.A.,Wyoming,,41.08603,-109.04976,Alkali Springs,"  33.99219 ,-112.370476",
359936.0,Wind River.,U.S.A.,Wyoming,Fremont,43.222,-108.9618,Wind River.,"  44.61578,-101.74045","  43.2481903,-109.0205068"
360335.0,Head of Woods Creek.,U.S.A.,Wyoming,Albany,41.1052,-106.065,,,
360343.0,Jelm.,U.S.A.,Wyoming,Albany,41.0577,-106.0131,,,
360721.0,Hartville Junction.,U.S.A.,Wyoming,Platte,42.2785,-104.8918,Hartville Junction.,,
361632.0,"Powder River Basin: Thunder Basin National Grassland-Spring Creek Unit: 0.35 mi N of Weston, 0.5 mi E, and ca 0.3 mi N at edge of the Little Powder River Valley.",U.S.A.,Wyoming,Campbell,44.654,-105.3362,Powder River Basin|Thunder Basin National Grassland-Spring Creek Unit|Weston|the Little Powder River Valley,"  45.411575,-106.11257 ",
361634.0,Powder River Basin: Thunder Basin National Grassland-Spring Creek Unit: ca 16 mi NE of Weston on Rocky Point Road and 0.8 mi S; W of road.,U.S.A.,Wyoming,Campbell,44.8004,-105.2092,Powder River Basin|Thunder Basin National Grassland-Spring Creek Unit|Weston|Rocky Point Road,"  45.411575,-106.11257 ",
